DateAndTime,Time,Air Pressure (PSI),Dyno Speed (RPM),Temperature1_Value,Temperature2_Value,Temp 3 Inboard (F),Temp 4 Outboard (F),Temperature5_Value,Temperature9_Value,Temperature10_Value,Load Cell Value (lbs),Step_Value,Next Test Section,Cycle_Count_Value,Hydraulic Pressure,Mu
7/15/2020,32:11.5,0.924296379,0,26.5,26.1,72.1,80.7,25.6,49.1,53.9,118,1024,1,0,0,#DIV/0!
7/15/2020,32:11.6,-0.462978363,0,26.5,26.1,72.1,80.7,25.6,49.1,54.1,118,1024,1,0,0,#DIV/0!
7/15/2020,32:11.7,0.096798897,0,26.5,26.2,72.1,80.7,25.6,49.1,54.1,118,1024,1,0,0,#DIV/0!
7/15/2020,32:11.8,-0.38996315,1,26.5,26.2,72.1,80.7,25.6,49,54.3,118,1024,1,0,0,#DIV/0!
7/15/2020,32:11.9,-0.250019073,1,26.5,26.2,72.1,80.7,25.7,49,54.3,126,1024,1,0,0,#DIV/0!
7/15/2020,32:12.0,-1.284389496,2,26.5,26.2,72.1,80.7,25.7,49,54.3,126,1024,1,0,0,#DIV/0!
7/15/2020,32:12.1,-1.241798401,3,26.5,26.2,72.1,80.7,25.7,48.9,54.4,126,1024,1,0,0,#DIV/0!
7/15/2020,32:12.2,1.161592484,4,26.5,26.2,72.1,80.7,25.7,48.9,54.4,126,1024,1,0,0,#DIV/0!
7/15/2020,32:12.3,-0.931487083,6,26.5,26.1,72.1,80.7,25.7,48.9,54.4,126,1024,1,0,0,#DIV/0!
7/15/2020,32:12.4,-0.73678112,8,26.5,26.1,72,80.6,25.6,48.5,54.6,126,1024,1,0,0,#DIV/0!
7/15/2020,32:12.5,-0.548161507,10,26.5,26.1,72,80.6,25.6,48.5,54.6,126,1024,1,0,0,#DIV/0!
7/15/2020,32:12.6,-0.669851303,12,26.5,26.1,71.9,80.6,25.6,48.5,54.6,126,1024,1,0,0,#DIV/0!
7/15/2020,32:12.7,-0.882810593,15,26.5,26.1,71.9,80.6,25.6,47.9,54.7,126,1024,1,0,0,#DIV/0!
7/15/2020,32:12.8,-1.059261322,18,26.5,26.1,71.9,80.6,25.6,47.9,54.7,126,1024,1,0,0,#DIV/0!
7/15/2020,32:12.9,-0.183089256,22,26.5,26.1,71.9,80.6,25.6,47.4,54.7,126,1024,1,0,0,#DIV/0!
7/15/2020,32:13.0,0.108968735,26,26.5,26.1,71.9,80.5,25.6,47.4,54.9,126,1024,1,0,0,#DIV/0!
7/15/2020,32:13.1,1.96475029,30,26.5,26.1,71.9,80.5,25.6,47.4,54.9,127,1024,1,0,0,#DIV/0!
7/15/2020,32:13.2,-0.201342583,35,26.5,26.2,71.9,80.5,25.6,48.8,54.9,127,1024,1,0,0,#DIV/0!
7/15/2020,32:13.3,-0.675935745,39,26.5,26.2,71.9,80.5,25.7,48.8,55.1,127,1024,1,0,0,#DIV/0!
7/15/2020,32:13.4,0.035954475,44,26.5,26.2,71.9,80.5,25.7,48.8,55.1,125,1024,1,0,0,#DIV/0!
7/15/2020,32:13.5,0.851281166,49,26.5,26.2,71.8,80.5,25.7,48.2,55.2,125,1024,1,0,0,#DIV/0!
7/15/2020,32:13.6,-0.12832737,54,26.5,26.2,71.8,80.5,25.7,48.2,55.2,125,1024,1,0,0,#DIV/0!
7/15/2020,32:13.7,-1.004501343,59,26.5,26.2,71.8,80.5,25.7,48.2,55.2,125,1024,1,0,0,#DIV/0!
7/15/2020,32:13.8,-1.704223633,64,26.5,26.2,71.8,80.4,25.7,48,55.4,125,1024,1,0,0,#DIV/0!
7/15/2020,32:13.9,-0.0248909,70,26.5,26.2,71.8,80.4,25.7,48,55.4,125,1024,1,0,0,#DIV/0!
7/15/2020,32:14.0,-0.931487083,75,26.6,26.2,71.7,80.4,25.7,48,55.4,126,1024,1,0,0,#DIV/0!
7/15/2020,32:14.1,-2.160563469,81,26.6,26.2,71.7,80.3,25.7,48.9,55.5,126,1024,1,0,0,#DIV/0!
7/15/2020,32:14.2,-0.38996315,87,26.6,26.2,71.7,80.3,25.7,48.9,55.5,126,1024,1,0,0,#DIV/0!
7/15/2020,32:14.3,1.131170273,94,26.6,26.2,71.7,80.3,25.7,48.3,55.5,125,1024,1,0,0,#DIV/0!
7/15/2020,32:14.4,1.125085831,100,26.6,26.2,71.7,80.2,25.7,48.3,55.7,125,1024,1,0,0,#DIV/0!
7/15/2020,32:14.5,-0.967993736,107,26.5,26.2,71.7,80.2,25.7,48.3,55.7,125,1024,1,0,0,#DIV/0!
7/15/2020,32:14.6,-1.619039536,114,26.5,26.2,71.6,80.2,25.7,48.4,55.7,126,1024,1,0,0,#DIV/0!
7/15/2020,32:14.7,-0.335202217,122,26.5,26.2,71.6,80.1,25.7,48.4,55.7,126,1024,1,0,0,#DIV/0!
7/15/2020,32:14.8,0.504463196,130,26.6,26.2,71.6,80.1,25.7,48.4,55.7,126,1024,1,0,0,#DIV/0!
7/15/2020,32:14.9,-1.947604179,137,26.6,26.2,71.5,80.1,25.7,49,55.7,126,1024,1,0,0,#DIV/0!
7/15/2020,32:15.0,1.739624023,145,26.6,26.2,71.5,80.1,25.7,49,55.9,126,1024,1,0,0,#DIV/0!
